Time (uS) - Plot 0;Amplitude - Plot 0 - real;Time (uS) - Plot 0;Amplitude - Plot 1 - imag
10520;2,60E+04;10520;1,50E+04
10540;-1,70E+04;10540;1,20E+04
10560;2,00E+04;10560;-2,50E+04
10580;-7,00E+03;10580;-2,20E+04
10600;-3,70E+04;10600;-4,20E+04
10620;5,10E+04;10620;-1,90E+04
10640;-2,00E+03;10640;1,80E+04
10660;-2,80E+04;10660;-9,57E+02
10680;4,00E+03;10680;-3,10E+04
10700;-4,50E+04;10700;-3,30E+04
10720;1,90E+04;10720;-5,00E+03
10740;-1,50E+04;10740;-2,40E+04
10760;2,40E+04;10760;9,00E+03
10780;-8,10E+04;10780;3,10E+04
10800;-2,90E+04;10800;4,30E+04
10820;-1,80E+04;10820;-1,00E+04
10840;-6,00E+03;10840;-3,80E+04
10860;-4,00E+03;10860;2,40E+04
10880;-1,20E+04;10880;-1,40E+04
10900;2,80E+04;10900;1,80E+04
10920;4,70E+04;10920;-1,00E+03
10940;-1,10E+04;10940;2,40E+04
10960;4,00E+04;10960;3,50E+04
10980;2,50E+04;10980;-1,90E+04
11000;-3,70E+04;11000;-6,90E+04
11020;-3,70E+04;11020;-1,50E+04
11040;4,10E+04;11040;-5,00E+04
11060;-5,16E+02;11060;2,60E+04
11080;-3,80E+04;11080;-4,20E+04
11100;3,00E+04;11100;-5,00E+03
11120;-1,30E+04;11120;2,60E+04
11140;-6,00E+02;11140;-2,60E+04
11160;5,10E+04;11160;-1,00E+04
11180;6,00E+03;11180;-3,00E+03
11200;4,50E+04;11200;4,80E+04
11220;-1,10E+04;11220;1,60E+04
11240;1,30E+04;11240;-1,80E+04
11260;-2,50E+04;11260;4,80E+04
11280;-9,00E+03;11280;2,00E+04
11300;3,00E+03;11300;-4,20E+04
11320;2,30E+04;11320;-2,40E+04
11340;5,00E+04;11340;8,30E+04
11360;-1,60E+04;11360;-2,00E+03
11380;3,00E+03;11380;6,10E+04
11400;6,00E+03;11400;-3,50E+04
11420;4,00E+03;11420;5,00E+04
11440;4,70E+04;11440;-3,20E+04
11460;2,20E+04;11460;2,00E+04
11480;2,90E+04;11480;1,00E+04
11500;1,00E+04;11500;-1,50E+04
11520;-2,60E+04;11520;-5,10E+04
11540;-2,20E+04;11540;-3,10E+04
11560;4,60E+04;11560;1,60E+04
11580;9,00E+03;11580;1,90E+04
11600;1,10E+04;11600;2,30E+04
11620;2,10E+04;11620;-4,30E+04
11640;1,60E+04;11640;-5,90E+04
11660;5,00E+04;11660;-4,80E+04
11680;1,20E+04;11680;-5,90E+04
11700;3,20E+04;11700;-7,90E+04
11720;2,30E+04;11720;6,50E+04
11740;-2,60E+04;11740;-3,70E+04
11760;1,90E+04;11760;3,10E+04
11780;-6,80E+04;11780;1,50E+04
11800;2,98E+02;11800;6,30E+04
11820;-4,00E+03;11820;-3,50E+04
11840;6,20E+04;11840;3,90E+04
11860;1,20E+04;11860;5,90E+04
11880;-5,10E+04;11880;-4,80E+04
11900;1,50E+04;11900;-4,00E+04
11920;2,80E+04;11920;2,30E+04
11940;4,80E+04;11940;-7,00E+03
11960;-1,10E+04;11960;-5,30E+04
11980;2,20E+04;11980;-2,00E+04
12000;-4,00E+03;12000;4,20E+04
12020;2,60E+04;12020;2,50E+04
12040;3,90E+04;12040;-2,50E+04
12060;-3,00E+03;12060;7,70E+04
12080;-4,00E+03;12080;-3,40E+04
12100;-1,00E+04;12100;-2,00E+03
12120;1,30E+04;12120;-6,00E+03
12140;1,20E+04;12140;7,00E+03
12160;3,00E+04;12160;-1,30E+04
12180;-4,10E+04;12180;-5,00E+03
12200;-2,10E+04;12200;-1,90E+04
12220;3,30E+04;12220;-4,00E+03
12240;1,90E+04;12240;-5,50E+04
12260;1,50E+04;12260;5,05E+02
12280;-4,70E+04;12280;5,30E+04
12300;-8,00E+03;12300;-3,20E+04
12320;6,80E+04;12320;-1,90E+04
12340;4,90E+04;12340;4,30E+04
12360;-5,80E+04;12360;-2,20E+04
12380;3,00E+04;12380;1,00E+03
12400;5,40E+04;12400;1,00E+04
12420;4,00E+03;12420;2,70E+04
12440;-6,10E+04;12440;3,00E+03
12460;8,00E+03;12460;8,00E+04
12480;9,40E+04;12480;-2,20E+04
12500;3,70E+04;12500;6,00E+03
12520;-4,10E+04;12520;3,90E+04
12540;-3,70E+04;12540;-5,10E+04
12560;1,20E+04;12560;2,80E+04
12580;-3,90E+04;12580;-3,70E+04
12600;2,00E+04;12600;-4,10E+04
12620;1,20E+04;12620;-3,00E+03
12640;1,60E+04;12640;-7,00E+03
12660;7,00E+04;12660;-1,70E+04
12680;2,00E+03;12680;3,70E+04
12700;2,10E+04;12700;-4,60E+04
12720;1,30E+04;12720;-9,00E+03
12740;-1,50E+04;12740;2,00E+03
12760;-2,90E+04;12760;-3,10E+04
12780;-1,70E+04;12780;-2,00E+03
12800;3,00E+04;12800;2,80E+04
12820;-7,80E+04;12820;-3,00E+03
12840;6,60E+04;12840;-5,00E+03
12860;-2,90E+04;12860;3,50E+04
